ds,yhat
2012-12-15,25615005.05222555
2012-12-16,25761571.324161425
2012-12-17,25864290.826550163
2012-12-18,25918678.742398094
2012-12-19,25920921.423449572
2012-12-20,25867983.493834887
2012-12-21,25757699.72986147
2012-12-22,25588849.249053415
2012-12-23,25361209.951839384
2012-12-24,25075591.625130825
2012-12-25,24733846.626632474
2012-12-26,24338857.609117776
2012-12-27,23894502.301220447
2012-12-28,23405595.921183653
2012-12-29,22877812.348101575
2012-12-30,22317585.697291777
2012-12-31,21731994.429044276
2013-01-01,21128630.550720394
2013-01-02,20515456.839798395
2013-01-03,19900655.310657512
2013-01-04,19292470.362921353
2013-01-05,18699050.178783648
2013-01-06,18128289.9775698
2013-01-07,17587680.686928295
2013-01-08,17084166.45311995
2013-01-09,16624014.191416413
2013-01-10,16212698.077761289
2013-01-11,15854801.512408221
2013-01-12,15553938.655143436
2013-01-13,15312697.15117376
2013-01-14,15132603.149323633
2013-01-15,15014109.173430376
2013-01-16,14956604.857564185
2013-01-17,14958450.010160677
2013-01-18,15017028.945219485
2013-01-19,15128824.52370365
2013-01-20,15289509.89752942
2013-01-21,15494055.553201675
2013-01-22,15736848.92175521
2013-01-23,16011823.563951688
2013-01-24,16312594.760464406
